UniqueCount	AmbigCount
11	0
281	0
27	9
78	0
25	0
49	4
63	0
5	0
209	0
2	0
145	0
24	0
7	0
40	0
32	0
6	0
7	0
0	24
1033	496
65	0
25	4
3	0
485	122
35	0
1	0
0	0
70	0
1	2
2	3
35	0
13	0
0	2
2	40
0	686
78	0
15	0
0	0
21	0
1	2
122	0
200	3
0	5
259	0
13	0
46	0
14	0
60	0
81	5
0	0
20	0
23	50
4	0
39	0
4	26
166	0
4	0
10	0
8	50
127	0
163	0
15	0
256	12
55	0
76	0
16	0
2	6
20	0
10	0
55	0
377	16
4	6
66	0
317	0
449	0
18	63
10	0
2	0
74	0
57	0
12	375
315	0
64	15
13	0
0	2
98	0
269	0
8	0
6	1
0	130
69	112
34	0
42	6
17	4
86	0
36	0
20	0
9	170
70	1116
22	0
40	0
73	0
3	0
34	0
1089	1392
139	0
20	0
0	3
72	0
4	0
7	0
191	0
82	125
15	0
0	2
13	0
9	0
147	0
13	0
6	10
49	0
120	0
136	0
32847	0
252	36
95	237
18	0
71	1
67	0
29	0
49	0
42	0
22	0
0	0
19	0
342	478
24	0
64	0
100	0
72	0
83	0
135	0
20	4
66	0
127	10
129	0
89	0
5	95
124	293
101	0
81	0
31	4
44	0
9	0
181	0
119	159
6	17
31	5
112	0
55	0
52	0
4	0
2	0
3527	0
59	0
283	0
51	0
41	0
42	0
5	0
30	0
1	20
256	0
75	0
15	0
37	0
308	0
138	0
32	0
57	0
10	6
73	16
40	0
7	0
0	9
37	0
41	0
23	10
83	0
28	0
33	0
434	0
33	9
54	0
17	1
70	0
668	0
2076	0
42	0
266	0
40	0
11	0
100	0
123	0
9	0
27	0
125	0
75	0
102	0
9	0
0	615
168	0
20	0
158	0
46	0
46	0
81	0
11	0
143	0
79	0
0	19
41	0
1	0
771	0
1	0
1	13
1180	0
4	0
45	0
67	0
144	0
28	0
8	0
41	0
106	0
67	0
11	0
94	0
40	0
3	1
75	0
56	0
5	0
0	215
15	0
13	0
60	0
1045	146
142	0
38	0
88	9
0	7
392	41
129	0
29	1
78	0
175	0
230	0
78	0
77	0
33	0
1	10
16	0
54	0
203	0
271	0
9	0
43	0
31	0
29	0
410	0
32	0
0	43
69	0
50	0
5	0
160	0
52	0
1	5
71	0
134	0
118	0
22	0
12	100
0	3386
26	2
51	0
24	0
106	0
20	0
28	0
21	0
667	0
43	0
4	0
34	4
1	6
26	0
191	0
732	0
8	0
135	0
5	0
150	0
55	0
108	0
0	6
101	266
474	0
6	8
707	394
18	0
44	0
1	0
0	0
76	0
6	0
37	0
266	0
5	0
146	0
0	0
136	52
9	0
39	0
102	0
1	6
23	0
2	0
26	0
27	0
13	3
141	0
17	0
15	0
47	0
29	0
73	0
132	0
19	0
17	0
66	0
31	0
167	0
44	0
30	0
19	0
41	0
12	0
6	0
55	0
12	0
0	0
1	2
96	0
6	2
9	0
0	6
37	0
136	0
17	0
396	0
39	0
38	5
253	142
44	0
0	1
11	0
30	0
30	0
1	8
21	0
85	0
376	0
36	0
11	0
45	0
97	19
20	0
56	0
64	0
14	0
44	3
76	0
267	0
139	56
118	0
0	1
17	0
8	0
456	0
1	0
0	5
38	0
2	0
121	0
8	0
172	0
26	0
13	10
94	0
54	0
55	0
24	0
202	0
221	0
58	0
0	0
289	7
59	0
244	0
0	0
28	0
11	0
17	0
316	0
18	0
82	2
28	0
83	0
76	0
14	319
11	62
104	0
0	0
192	0
196	0
31	0
153	0
0	3
114	0
32	0
227	253
4	0
25	0
133	0
43	0
191	0
34	0
397	0
1	6
28	0
35	0
5	3
1	0
57	0
155	0
56	0
248	0
324	0
0	15
95	0
20	0
0	1
1	0
78	0
7	0
215	0
17	0
154	0
37	0
17	0
15	0
262	0
4	0
11	0
0	0
24	0
18	0
72	0
0	0
333	0
8	20
41	0
56	0
0	1
295	0
19	0
27	0
17	0
0	0
0	0
7	0
20	0
183	0
